7254#Has_Status,13843#Has_Direct_Object,48333#Has_Direct_Object,7802#Has_Constraint,7864#Has_Result,7864#Has_Preposition_Object,8744#Has_Direct_Object,8746#Has_Preposition_Object,action#Has_Event,24800#Has_Preposition_Object,9435#Has_Manner,48294#Has_Status,13078#Has_Direct_Object,7659#Has_Status,13078#Has_Constraint,33431#Has_Direct_Object,13112#Has_Direct_Object,48336#Has_Direct_Object,517#Has_Status,9462#Has_Direct_Object,1501#Has_Status,9442#Has_Status,9443#Has_Location,19#Has_Status,7846#Has_Direct_Object,7856#Has_Direct_Object,13215#Has_Direct_Object,9434#Has_Status,9904#Has_Direct_Object,14303#Has_Direct_Object,48295#Has_Direct_Object,7802#Has_Location,13112#Has_Preposition_Object,20#Has_Constraint,20#Has_Result,7852#Has_Direct_Object,20#Has_Direction,9939#Has_Direct_Object,24800#Has_Manner,7802#Has_Manner,9435#Has_Location,13249#Has_Direct_Object,7833#Has_Direct_Object,9435#Has_Direct_Object,7864#Has_Manner,20#Has_Direct_Object,8990#Has_Status,24800#Has_Direct_Object,7802#Has_Preposition_Object,7833#Has_Result,9443#Has_Temporal,8814#Has_Direct_Object,7802#Has_Direct_Object,7823#Has_Status,8741#Has_Preposition_Object,48295#Has_Constraint,13961#Has_Direct_Object,7849#Has_Direct_Object,13283#Has_Preposition_Object,8814#Has_Preposition_Object,13843#Has_Preposition_Object,13283#Has_Direct_Object,8746#Has_Location,13961#Has_Purpose,1514#Has_Status,9443#Has_Direct_Object,7802#Has_Result,7824#Has_Direct_Object,20#Has_Preposition_Object,1187#Has_Status,8746#Has_Direct_Object,8741#Has_Direct_Object,36136#Has_Direct_Object,19#Has_Type,9443#Has_Manner,19534#Has_Status,7864#Has_Direct_Object,api_method
7254,13843,48333,7802,7864,7864,8744,8746,13961,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,1187,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13960
7254,13843,48333,7802,7864,7864,8744,8746,14303,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14302,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,14301
7254,13843,48333,7802,7864,7864,8744,8746,13078,24800,9435,48294,1501,7659,13174,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,13173
7254,13843,48333,7802,7864,7864,8744,8746,7864,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,1501,7865
7254,13843,48333,7802,7864,7864,8744,8746,9443,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,29,9446,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9442,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,9445
7254,13843,48333,7802,7864,7864,8743,8746,8744,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,8742
7254,13843,48333,7802,7864,7864,8744,8746,33431,24800,9435,48294,13078,7659,13078,1501,13112,48336,517,9462,121,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,33430
7254,13843,48333,7802,7864,7864,8744,8746,7849,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7848,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7847
7254,13843,48333,7802,7864,7864,8744,8746,7852,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9904,14303,48295,7802,13112,20,20,7851,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,7850
7254,13843,48333,7802,7864,7864,8744,8746,9904,24800,9435,48294,13078,7659,13078,33431,13112,48336,517,9462,1501,9442,9443,19,7846,7856,13215,9434,9886,14303,48295,7802,13112,20,20,7852,20,9939,24800,7802,9435,13249,7833,9435,7864,20,8990,24800,7802,7833,9443,8814,7802,7823,8741,48295,13961,7849,13283,8814,13843,13283,8746,13961,1514,9443,7802,7824,20,1187,8746,8741,36136,19,9443,19534,7864,9903
